Time,value
0,0.0736
500,0.0879
1000,0.1025
1500,0.1173
2000,0.1319
2500,0.1442
3000,0.1561
3500,0.1687
4000,0.1826
4500,0.1943
5000,0.2033
5500,0.2105
6000,0.2178
6500,0.2248
7000,0.2301
7500,0.2346
8000,0.2386
8500,0.2414
9000,0.2425
9500,0.2447
10000,0.2487
10500,0.2522
11000,0.2551
11500,0.2565
12000,0.2575
12500,0.2589
13000,0.2631
13500,0.2661
14000,0.2681
14500,0.2694
15000,0.2705
15500,0.2719
16000,0.2743
16500,0.2775
17000,0.2796
17500,0.2801
18000,0.2803
18500,0.2806
19000,0.2805
19500,0.2804
20000,0.28
20500,0.2778
21000,0.276
21500,0.2745
22000,0.2734
22500,0.2725
23000,0.2716
23500,0.2707
24000,0.2697
24500,0.2692
25000,0.2681
25500,0.2666
26000,0.2653
26500,0.2647
27000,0.267
27500,0.2699
28000,0.2716
28500,0.2721
29000,0.2726
29500,0.2741
30000,0.2737
30500,0.2735
31000,0.2728
31500,0.2729
32000,0.2727
32500,0.2735
33000,0.2752
33500,0.2769
34000,0.2803
34500,0.2814
35000,0.2811
35500,0.2813
36000,0.2823
36500,0.284
37000,0.2837
37500,0.282
38000,0.2798
38500,0.2783
39000,0.2754
39500,0.2738
40000,0.2724
40500,0.2697
41000,0.263
41500,0.2533
42000,0.243
42500,0.2327
43000,0.2226
43500,0.2117
44000,0.2001
44500,0.1893
45000,0.1801
45500,0.1709
46000,0.1604
46500,0.1491
47000,0.1358
47500,0.1201
48000,0.1031
48500,0.0879
49000,0.0737
49500,0.0597
50000,0.0465
50500,0.0347
51000,0.0223
51500,0.0098
52000,-0.0035
52500,-0.0141
53000,-0.023
53500,-0.0313
54000,-0.0388
54500,-0.0465
55000,-0.0518
55500,-0.0547
56000,-0.0553
56500,-0.0558
57000,-0.0565
57500,-0.0571
58000,-0.0581
58500,-0.0571
59000,-0.0558
59500,-0.0545
60000,-0.055
60500,-0.0581
61000,-0.0617
61500,-0.0646
62000,-0.0665
62500,-0.0695
63000,-0.0732
63500,-0.0765
64000,-0.0795
64500,-0.0818
65000,-0.0845
65500,-0.0873
66000,-0.0905
66500,-0.0945
67000,-0.0974
67500,-0.0996
68000,-0.1005
68500,-0.1003
69000,-0.1005
69500,-0.101
70000,-0.1003
70500,-0.0989
71000,-0.0979
71500,-0.0971
72000,-0.0969
72500,-0.0965
73000,-0.0963
73500,-0.095
74000,-0.0923
74500,-0.0889
75000,-0.0859
75500,-0.0817
76000,-0.0737
76500,-0.0653
77000,-0.0557
77500,-0.047
78000,-0.0382
78500,-0.0289
79000,-0.02
79500,-0.0107
80000,-0.0025
80500,0.0041
81000,0.0093
81500,0.0125
82000,0.0151
82500,0.019
83000,0.0221
83500,0.0209
84000,0.0195
84500,0.0173
85000,0.0155
85500,0.0131
86000,0.0095
86500,0.0067
87000,0.0037
87500,0.0018
88000,0.0011
88500,0.0001
89000,0.0009
89500,0.0
90000,-0.0035
90500,-0.0073
91000,-0.0125
91500,-0.0197
92000,-0.0275
92500,-0.0355
93000,-0.0443
93500,-0.0533
94000,-0.0635
94500,-0.0732
95000,-0.0831
95500,-0.0931
96000,-0.1033
96500,-0.1131
97000,-0.1204
97500,-0.1261
98000,-0.13
98500,-0.1317
99000,-0.1313
99500,-0.1302
100000,-0.1293
100500,-0.1268
101000,-0.1233
101500,-0.1181
102000,-0.1133
102500,-0.1086
103000,-0.1022
103500,-0.0941
104000,-0.0874
104500,-0.0809
105000,-0.0743
105500,-0.0691
106000,-0.0634
106500,-0.0588
107000,-0.0545
107500,-0.0512
108000,-0.0483
108500,-0.0463
109000,-0.0457
109500,-0.0474
110000,-0.049
110500,-0.053
111000,-0.0586
111500,-0.0637
112000,-0.0693
112500,-0.0762
113000,-0.083
113500,-0.09
